Ename,Age,NumCompaniesWorked,Previous company experience,Job role in previous company,Number of years experience in prevoius company,Reason for leaving,Salary in previous company,Present expectation Y/N,Expectation of hike in %,Promotion Y/N,New designation after promotion,Attrition,BusinessTravel,Department,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager
Alexander Manning,34,1,Yes,Laboratory Technician,0,Lack of flexible work options,1330.5,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,2,18,2,Male,3,1,Laboratory Technician,4,Divorced,2661,No,3,1,3,2,2
Edward Payne,28,1,Yes,Laboratory Technician,5,Lack of flexible work options,1014,Yes,0.35,Yes,Laboratory Technician,Yes,Travel_Rarely,Research & Development,3,19,3,Male,2,1,Laboratory Technician,3,Single,2028,Yes,3,0,6,4,3
Amy Taylor,29,2,Yes,Manufacturing Director,1,for a higher pay,4990,Yes,0.35,Yes,Manufacturing Director,No,Travel_Rarely,Research & Development,4,20,2,Female,4,3,Manufacturing Director,1,Divorced,9980,No,3,1,10,10,8
Willie Wallace,32,1,Yes,Research Scientist,0,Lack of flexible work options,1649,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,21,1,Male,4,1,Research Scientist,2,Divorced,3298,Yes,3,2,7,6,5
James Mcbride,22,1,No,Laboratory Technician,1,No previous experience,1467.5,Yes,0.35,Yes,Laboratory Technician,No,Non-Travel,Research & Development,2,22,4,Male,4,1,Laboratory Technician,4,Divorced,2935,Yes,3,2,1,1,0
Suzanne Torres,53,4,Yes,Manager,2,Lack of opportunities for carrier growth and development,7713.5,Yes,0.5,Yes,Manager,No,Travel_Rarely,Sales,4,23,1,Female,2,4,Manager,4,Married,15427,No,3,0,31,25,7
Micheal Hurley,38,1,Yes,Research Scientist,5,Lack of flexible work options,1972,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,3,24,4,Male,3,1,Research Scientist,4,Single,3944,Yes,3,0,6,3,2
Mary Perez,24,1,No,Manufacturing Director,0,No previous experience,2005.5,Yes,0.35,Yes,Manufacturing Director,No,Non-Travel,Research & Development,2,26,1,Female,4,2,Manufacturing Director,3,Divorced,4011,No,3,1,5,4,3
Brent Wiggins,36,3,Yes,Sales Representative,7,Lack of flexible work options,1703.5,Yes,0.35,Yes,Sales Representative,Yes,Travel_Rarely,Sales,4,27,3,Male,2,1,Sales Representative,1,Single,3407,No,4,0,10,5,3
Robin Jordan,34,2,Yes,Research Director,0,for a higher pay,5997,Yes,0.3,Yes,Research Director,No,Travel_Rarely,Research & Development,4,28,1,Female,3,3,Research Director,2,Single,11994,No,3,0,13,12,11
Daniel Shaw,21,0,No,Research Scientist,1,No previous experience,616,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,30,3,Male,3,1,Research Scientist,4,Single,1232,No,3,0,0,5,0
Paul Cross,34,1,Yes,Research Scientist,2,Lack of flexible work options,1480,Yes,0.35,Yes,Research Scientist,Yes,Travel_Rarely,Research & Development,1,31,2,Male,3,1,Research Scientist,1,Single,2960,No,3,0,8,4,3
Tracy Hansen,53,4,Yes,Manager,4,for a higher pay,9547,Yes,0.35,Yes,Manager,No,Travel_Rarely,Research & Development,3,32,3,Female,3,5,Manager,3,Divorced,19094,No,3,1,26,14,8
Sara Washington,32,3,Yes,Research Scientist,1,for a higher pay,1959.5,Yes,0.35,Yes,Research Scientist,Yes,Travel_Frequently,Research & Development,1,33,2,Female,1,1,Research Scientist,1,Single,3919,Yes,4,0,10,10,7
Brian Singh,42,2,Yes,Junior Sales Executive,0,Lack of flexible work options,3412.5,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,4,35,3,Male,3,2,Sales Executive,2,Married,6825,No,3,1,10,9,2
Briana Lee,44,4,Yes,Healthcare Representative,3,Lack of opportunities for carrier growth and development,5124,Yes,0.5,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,4,36,1,Female,2,3,Healthcare Representative,4,Married,10248,No,3,1,24,22,17
Shannon Phillips,46,4,Yes,Manager,3,Lack of flexible work options,9473.5,Yes,0.35,Yes,Manager,No,Travel_Rarely,Sales,4,38,2,Female,3,5,Manager,1,Single,18947,No,3,0,22,2,1
Kristopher Thompson,33,1,Yes,Laboratory Technician,4,Lack of flexible work options,1248,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,3,39,3,Male,3,1,Laboratory Technician,4,Single,2496,No,3,0,7,1,0
Jacob Richardson,44,3,Yes,Healthcare Representative,2,Lack of flexible work options,3232.5,Yes,0.15,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,4,40,4,Male,3,2,Healthcare Representative,4,Married,6465,Yes,3,0,9,4,3
Calvin Nelson,30,2,Yes,Laboratory Technician,1,for a higher pay,1103,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,2,41,4,Male,2,1,Laboratory Technician,3,Single,2206,No,3,0,10,10,8
Danny Guzman,39,4,Yes,Sales Representative,3,Lack of flexible work options,1043,Yes,0.35,Yes,Sales Representative,Yes,Travel_Rarely,Sales,3,42,4,Male,3,2,Sales Representative,4,Married,2086,No,3,1,19,1,0
Henry Smith,24,1,Yes,Research Scientist,2,No previous experience,1146.5,Yes,0.15,Yes,Research Scientist,Yes,Travel_Rarely,Research & Development,3,45,2,Male,3,1,Research Scientist,4,Married,2293,Yes,3,1,6,2,0
Amanda Roberts,43,1,Yes,Research Scientist,1,Lack of flexible work options,1322.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,46,4,Female,4,1,Research Scientist,3,Divorced,2645,No,3,2,6,5,4
Calvin Conner,50,1,Yes,Sales Representative,1,Lack of flexible work options,1341.5,Yes,0.15,Yes,Sales Representative,Yes,Travel_Rarely,Sales,2,47,1,Male,2,1,Sales Representative,3,Married,2683,Yes,3,0,3,3,2
Tina Ponce,35,1,Yes,Sales Representative,1,Lack of flexible work options,1007,Yes,0.15,Yes,Sales Representative,No,Travel_Rarely,Sales,3,49,4,Female,3,1,Sales Representative,4,Married,2014,No,3,0,2,2,2
Chelsea Williams,36,1,Yes,Research Scientist,9,Lack of flexible work options,1709.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,51,2,Female,2,1,Research Scientist,1,Married,3419,Yes,3,1,6,1,0
Sarah Hall,33,3,Yes,Junior Sales Executive,2,Lack of flexible work options,2688,Yes,0.15,Yes,Sales Executive,No,Travel_Frequently,Sales,3,52,3,Female,4,2,Sales Executive,1,Married,5376,No,3,2,10,5,3
Nathan Garcia,35,1,Yes,Laboratory Technician,1,Lack of flexible work options,975.5,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,2,53,3,Male,3,1,Laboratory Technician,4,Divorced,1951,No,3,1,1,1,0
Olivia Wilkins,27,1,Yes,Laboratory Technician,1,Lack of flexible work options,1170.5,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,4,54,4,Female,3,1,Laboratory Technician,1,Divorced,2341,No,3,1,1,1,0
Lawrence Harris,26,1,Yes,Laboratory Technician,1,Lack of flexible work options,1146.5,Yes,0.15,Yes,Laboratory Technician,Yes,Travel_Rarely,Research & Development,3,55,1,Male,1,1,Laboratory Technician,3,Single,2293,No,3,0,1,1,1
Dustin Howard,27,2,Yes,Junior Sales Executive,1,Lack of flexible work options,4363,Yes,0.35,Yes,Sales Executive,No,Travel_Frequently,Sales,3,56,4,Male,3,3,Sales Executive,3,Single,8726,No,3,0,9,9,7
Melissa Gonzalez,30,3,Yes,Laboratory Technician,1,for a higher pay,2005.5,Yes,0.3,Yes,Laboratory Technician,No,Travel_Frequently,Research & Development,2,57,3,Female,3,2,Laboratory Technician,4,Single,4011,No,4,0,12,12,7
Katherine Edwards,41,4,Yes,Research Director,1,Lack of appreciation or recognition,9772.5,Yes,0.5,Yes,Research Director,Yes,Travel_Rarely,Research & Development,3,58,2,Female,3,5,Research Director,3,Married,19545,No,3,0,23,22,8
Paul Travis,34,2,Yes,Junior Sales Executive,0,Lack of flexible work options,2284,Yes,0.35,Yes,Sales Executive,No,Non-Travel,Sales,4,60,2,Male,3,2,Sales Executive,3,Single,4568,No,4,0,10,9,7
Nathan Santos,37,1,Yes,Research Scientist,4,Lack of flexible work options,1511,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,2,61,2,Male,3,1,Research Scientist,2,Married,3022,No,4,0,8,1,0
Christopher Lewis,46,3,Yes,Junior Sales Executive,4,Lack of flexible work options,2886,Yes,0.35,Yes,Sales Executive,No,Travel_Frequently,Sales,4,62,1,Male,3,2,Sales Executive,4,Single,5772,Yes,4,0,14,9,8
John Phelps,35,1,Yes,Laboratory Technician,1,Lack of flexible work options,1134.5,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,1,63,4,Male,4,1,Laboratory Technician,4,Married,2269,No,3,0,1,1,1
John Richardson,48,4,Yes,Laboratory Technician,9,Lack of flexible work options,2690.5,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,2,64,1,Male,2,3,Laboratory Technician,3,Single,5381,Yes,3,0,23,1,0
Randall Jenkins,28,1,Yes,Laboratory Technician,1,Lack of flexible work options,1720.5,No,0,No,Laboratory Technician,Yes,Travel_Rarely,Research & Development,4,65,3,Male,3,1,Laboratory Technician,3,Single,3441,Yes,3,0,2,2,2
Lindsay Vazquez,44,2,Yes,Junior Sales Executive,5,Lack of flexible work options,2727,No,0,No,Sales Executive,No,Travel_Rarely,Sales,5,68,2,Female,3,2,Sales Executive,1,Divorced,5454,Yes,4,1,9,4,3
Christopher Parrish,35,3,Yes,Healthcare Representative,2,Lack of flexible work options,4942,No,0,No,Healthcare Representative,No,Non-Travel,Research & Development,2,70,3,Male,2,3,Healthcare Representative,1,Married,9884,Yes,3,1,10,4,3
Dominique Schroeder,26,1,Yes,Junior Sales Executive,7,Lack of flexible work options,2078.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,3,72,3,Female,2,2,Sales Executive,4,Married,4157,Yes,3,1,5,2,0
Kim Larson,33,2,Yes,Research Director,1,for a higher pay,6729,No,0,No,Research Director,No,Travel_Frequently,Research & Development,2,73,1,Female,3,3,Research Director,4,Single,13458,Yes,3,0,15,15,12
Corey Miller,35,3,Yes,Junior Sales Executive,1,Lack of flexible work options,4534.5,No,0,No,Sales Executive,No,Travel_Frequently,Sales,5,74,2,Male,3,3,Sales Executive,1,Married,9069,No,4,1,9,9,8
Kelly Webster,35,1,Yes,Laboratory Technician,3,Lack of flexible work options,2007,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,4,75,3,Female,3,1,Laboratory Technician,1,Married,4014,Yes,3,1,4,2,2
Kevin Long,31,2,Yes,Laboratory Technician,3,Lack of flexible work options,2957.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,4,76,4,Male,3,2,Laboratory Technician,4,Divorced,5915,No,4,1,10,7,7
Justin Garcia,37,1,Yes,Manufacturing Director,1,Lack of flexible work options,2996.5,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,4,77,1,Male,2,2,Manufacturing Director,3,Divorced,5993,No,3,1,7,7,7
Gregory Rodriguez,32,3,Yes,Manufacturing Director,1,Lack of flexible work options,3081,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,3,78,1,Male,3,2,Manufacturing Director,4,Married,6162,Yes,4,1,9,9,8
Lauren Morgan,38,2,Yes,Laboratory Technician,1,for a higher pay,1203,No,0,No,Laboratory Technician,No,Travel_Frequently,Research & Development,5,79,4,Female,3,2,Laboratory Technician,4,Single,2406,No,3,0,10,10,9
Danielle Wolf,50,4,Yes,Research Director,5,Lack of opportunities for carrier growth and development,9370,No,0,No,Research Director,No,Travel_Rarely,Research & Development,2,80,2,Female,2,5,Research Director,3,Divorced,18740,Yes,3,1,29,27,8
Emily Kim,59,4,Yes,Junior Sales Executive,7,Lack of opportunities for carrier growth and development,3818.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,3,81,1,Female,3,3,Sales Executive,1,Single,7637,No,3,0,28,21,9
Tracey Grimes,36,4,Yes,Healthcare Representative,1,Lack of flexible work options,5048,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,3,83,3,Female,3,3,Healthcare Representative,3,Divorced,10096,No,3,3,17,17,8
Nicole Smith,55,4,Yes,Manager,2,Lack of flexible work options,7378,No,0,No,Manager,No,Travel_Rarely,Research & Development,3,84,4,Female,3,4,Manager,3,Divorced,14756,Yes,3,3,21,5,2
Adam Randall,36,1,Yes,Manufacturing Director,1,Lack of flexible work options,3249.5,No,0,No,Manufacturing Director,No,Travel_Frequently,Research & Development,3,85,2,Male,2,2,Manufacturing Director,2,Single,6499,No,3,0,6,6,3
Justin Harvey,45,4,Yes,Research Scientist,2,Lack of flexible work options,4862,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,86,2,Male,3,3,Research Scientist,1,Divorced,9724,No,3,1,25,1,0
James Rose,35,1,Yes,Research Scientist,4,Lack of flexible work options,1097,No,0,No,Research Scientist,No,Travel_Frequently,Research & Development,3,88,2,Male,3,1,Research Scientist,1,Married,2194,No,3,1,5,3,2
Billy Everett,36,1,Yes,Research Scientist,0,Lack of flexible work options,1694,No,0,No,Research Scientist,Yes,Travel_Rarely,Research & Development,3,90,4,Male,2,1,Research Scientist,3,Married,3388,Yes,3,1,2,1,0
Suzanne Lane,59,4,Yes,Junior Sales Executive,7,Lack of flexible work options,2736.5,No,0,No,Sales Executive,No,Travel_Frequently,Sales,1,91,1,Female,2,2,Sales Executive,3,Single,5473,No,3,0,20,4,3
Peter Gilbert,29,1,Yes,Research Scientist,0,Lack of flexible work options,1351.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,94,3,Male,3,1,Research Scientist,2,Married,2703,No,4,1,6,5,4
William Humphrey,31,1,Yes,Research Scientist,1,Lack of flexible work options,1250.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,4,95,3,Male,3,1,Research Scientist,2,Single,2501,No,3,0,1,1,0
Edward Murphy,32,3,Yes,Research Scientist,1,for a higher pay,3110,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,96,2,Male,3,2,Research Scientist,2,Married,6220,No,3,2,10,10,9
Amanda Potter,36,1,Yes,Laboratory Technician,3,Lack of flexible work options,1519,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,3,97,2,Female,4,1,Laboratory Technician,4,Married,3038,No,3,0,5,1,0
Nicole Anderson,31,2,Yes,Manufacturing Director,1,for a higher pay,2212,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,4,98,3,Female,3,2,Manufacturing Director,4,Single,4424,No,4,0,11,11,8
Robert Lopez,35,3,Yes,Junior Sales Executive,0,for a higher pay,2156,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,100,3,Male,2,2,Sales Executive,1,Single,4312,No,3,0,16,15,8
Alexander Sanders,45,4,Yes,Research Director,4,Lack of flexible work options,6622.5,No,0,No,Research Director,No,Travel_Rarely,Research & Development,4,101,4,Male,3,3,Research Director,1,Married,13245,Yes,3,0,17,5,0
Joshua Jones,37,4,Yes,Research Director,4,Lack of flexible work options,6832,No,0,No,Research Director,No,Travel_Rarely,Research & Development,4,102,1,Male,3,3,Research Director,3,Single,13664,No,3,0,16,5,2
Gregory Gomez,46,3,Yes,Human Resources,8,Lack of flexible work options,2510.5,No,0,No,Human Resources,No,Travel_Rarely,Human Resources,2,103,2,Male,3,2,Human Resources,2,Divorced,5021,Yes,4,1,16,4,2
Matthew Floyd,30,3,Yes,Laboratory Technician,1,for a higher pay,2563,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,1,104,4,Male,2,2,Laboratory Technician,4,Married,5126,Yes,3,2,10,10,0
Matthew Greer,35,1,Yes,Research Scientist,1,Lack of flexible work options,1429.5,No,0,No,Research Scientist,No,Travel_Rarely,Research & Development,3,105,2,Male,2,1,Research Scientist,3,Single,2859,No,3,0,6,6,4
Justin Campos,55,4,Yes,Junior Sales Executive,3,Lack of flexible work options,5119.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,2,106,1,Male,3,3,Sales Executive,4,Married,10239,No,3,1,24,1,0
Michelle Ramirez,38,4,Yes,Research Scientist,7,for a higher pay,2664.5,No,0,No,Research Scientist,No,Non-Travel,Research & Development,3,107,2,Female,1,2,Research Scientist,4,Divorced,5329,Yes,3,3,17,13,9
Jeffrey Lopez,34,1,Yes,Manufacturing Director,1,Lack of flexible work options,2162.5,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,2,110,1,Male,3,2,Manufacturing Director,2,Married,4325,No,3,0,5,5,3
William Mullins,56,4,Yes,Manufacturing Director,4,Lack of flexible work options,3630,No,0,No,Manufacturing Director,No,Travel_Rarely,Research & Development,3,112,4,Male,1,3,Manufacturing Director,4,Single,7260,No,3,0,37,6,2
Jeremy Burgess,23,1,No,Sales Representative,3,No previous experience,1161,No,0,No,Sales Representative,No,Travel_Rarely,Sales,1,113,3,Male,3,1,Sales Representative,1,Divorced,2322,No,3,1,3,5,0
Jared Mills,51,2,Yes,Laboratory Technician,3,Lack of flexible work options,1037.5,No,0,No,Laboratory Technician,No,Travel_Rarely,Research & Development,4,116,4,Male,3,1,Laboratory Technician,4,Married,2075,No,4,2,10,4,3
Shane Brandt,30,3,Yes,Healthcare Representative,1,for a higher pay,2076,No,0,No,Healthcare Representative,No,Travel_Rarely,Research & Development,3,117,3,Male,2,2,Healthcare Representative,4,Married,4152,No,3,3,11,11,8
John Silva,46,2,Yes,Junior Sales Executive,1,Lack of flexible work options,4809.5,No,0,No,Sales Executive,Yes,Travel_Rarely,Sales,2,118,3,Male,2,3,Sales Executive,4,Single,9619,No,3,0,9,9,7
Robert Fitzpatrick,40,4,Yes,Healthcare Representative,1,Lack of appreciation or recognition,6751.5,No,0,No,Healthcare Representative,No,Travel_Frequently,Research & Development,4,119,3,Male,2,4,Healthcare Representative,2,Married,13503,No,4,1,22,22,11
Tim Kim,51,3,Yes,Junior Sales Executive,0,for a higher pay,2720.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,120,3,Male,3,2,Sales Executive,4,Single,5441,Yes,4,0,11,10,0
Amanda Hoffman,30,2,Yes,Junior Sales Executive,1,for a higher pay,2604.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,2,121,3,Female,2,2,Sales Executive,2,Divorced,5209,Yes,3,3,11,11,7
Gavin Young,46,4,Yes,Healthcare Representative,2,for a higher pay,5336.5,No,0,No,Healthcare Representative,No,Travel_Frequently,Research & Development,3,124,3,Male,2,3,Healthcare Representative,1,Married,10673,Yes,3,1,21,10,5
Dustin Shah,32,3,Yes,Junior Sales Executive,1,for a higher pay,2505,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,125,2,Male,3,2,Sales Executive,3,Single,5010,No,3,0,12,11,7
Miranda Hampton,54,4,Yes,Research Director,9,Lack of flexible work options,6774.5,No,0,No,Research Director,No,Travel_Rarely,Research & Development,4,126,1,Female,3,3,Research Director,3,Married,13549,No,3,1,16,4,3
Margaret Turner,24,1,No,Junior Sales Executive,0,No previous experience,2499.5,No,0,No,Sales Executive,No,Travel_Rarely,Sales,2,128,1,Female,3,2,Sales Executive,3,Married,4999,No,4,1,4,3,2
Ryan Tran,28,1,Yes,Junior Sales Executive,1,Lack of flexible work options,2110.5,No,0,No,Sales Executive,No,Non-Travel,Sales,3,129,2,Male,3,2,Sales Executive,3,Married,4221,No,3,0,5,5,4
Jeffrey Trevino,58,4,Yes,Junior Sales Executive,0,Lack of opportunities for carrier growth and development,6936,No,0,No,Sales Executive,No,Travel_Rarely,Sales,4,131,4,Male,3,4,Sales Executive,3,Single,13872,No,3,0,38,37,8
Nicholas Allen,44,4,Yes,Laboratory Technician,4,Lack of flexible work options,1021,No,0,No,Laboratory Technician,No,Non-Travel,Research & Development,3,132,2,Male,3,2,Laboratory Technician,2,Married,2042,No,3,1,17,3,2
Christopher Hawkins,37,1,Yes,Human Resources,4,Lack of flexible work options,1036.5,Yes,0.15,Yes,Human Resources,Yes,Travel_Rarely,Human Resources,4,133,3,Male,3,1,Human Resources,1,Divorced,2073,Yes,4,0,7,3,2
Andrew Mercado,32,1,Yes,Research Scientist,1,Lack of flexible work options,1478,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,1,134,4,Male,3,1,Research Scientist,1,Single,2956,No,3,0,1,1,0
Erin King,20,1,No,Laboratory Technician,1,No previous experience,1463,Yes,0.15,Yes,Laboratory Technician,Yes,Travel_Frequently,Research & Development,3,137,4,Female,2,1,Laboratory Technician,4,Single,2926,Yes,3,0,1,1,0
Charlotte Figueroa,34,3,Yes,Research Scientist,1,Lack of flexible work options,2404.5,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,138,1,Female,3,2,Research Scientist,3,Single,4809,No,3,0,16,16,10
James Jenkins,37,4,Yes,Healthcare Representative,5,Lack of flexible work options,2581.5,Yes,0.35,Yes,Healthcare Representative,No,Non-Travel,Research & Development,2,139,3,Male,2,2,Healthcare Representative,4,Divorced,5163,No,3,1,17,1,0
Michelle Norman,59,4,Yes,Manager,9,Lack of flexible work options,9422,Yes,0.35,Yes,Manager,No,Non-Travel,Human Resources,4,140,3,Female,2,5,Manager,4,Married,18844,No,4,1,30,3,2
Kim Rhodes,50,4,Yes,Research Director,3,Lack of flexible work options,9086,Yes,0.35,Yes,Research Director,No,Travel_Frequently,Research & Development,3,141,1,Female,3,5,Research Director,2,Married,18172,Yes,3,0,28,8,7
Edward Coleman,25,1,No,Junior Sales Executive,1,No previous experience,2872,Yes,0.35,Yes,Sales Executive,Yes,Travel_Rarely,Sales,3,142,3,Male,2,2,Sales Executive,3,Single,5744,Yes,3,0,6,6,3
Gregory Warren,25,1,No,Research Scientist,1,No previous experience,1444.5,Yes,0.15,Yes,Research Scientist,No,Travel_Rarely,Research & Development,1,143,4,Male,2,1,Research Scientist,4,Married,2889,No,3,2,2,2,1
Mary Hill,22,1,No,Laboratory Technician,1,No previous experience,1435.5,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,3,144,2,Female,3,1,Laboratory Technician,4,Single,2871,No,3,0,1,5,0
Sandra Gray,51,4,Yes,Healthcare Representative,3,for a higher pay,3742,Yes,0.35,Yes,Healthcare Representative,No,Travel_Frequently,Research & Development,4,145,1,Female,2,3,Healthcare Representative,1,Single,7484,No,4,0,23,13,8
Martin Sanchez,34,2,Yes,Laboratory Technician,1,Lack of flexible work options,3037,Yes,0.35,Yes,Laboratory Technician,Yes,Travel_Frequently,Research & Development,3,147,1,Male,1,2,Laboratory Technician,3,Single,6074,Yes,4,0,9,9,6
Bridget Smith,54,4,Yes,Manager,2,Lack of flexible work options,8664,Yes,0.35,Yes,Manager,No,Non-Travel,Human Resources,3,148,4,Female,4,4,Manager,4,Single,17328,Yes,3,0,23,5,4
Kevin Rogers,24,1,No,Laboratory Technician,0,No previous experience,1387,Yes,0.15,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,1,150,2,Male,3,1,Laboratory Technician,3,Married,2774,No,3,1,6,5,2
Bonnie Martinez,34,3,Yes,Research Scientist,6,Lack of flexible work options,2252.5,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,4,151,3,Female,2,2,Research Scientist,2,Divorced,4505,No,3,1,12,1,0
Tyler Bright,37,2,Yes,Junior Sales Executive,2,Lack of flexible work options,3714,Yes,0.35,Yes,Sales Executive,No,Travel_Rarely,Sales,3,152,3,Male,3,3,Sales Executive,4,Single,7428,No,3,0,12,5,3
Jennifer Estrada,34,3,Yes,Manager,2,for a higher pay,5815.5,Yes,0.3,Yes,Manager,No,Travel_Rarely,Research & Development,3,153,3,Female,2,3,Manager,1,Single,11631,No,3,0,14,11,8
